rq0_id,language,source_sha256,token_stream_sha256
dorn_cuda_000,cuda,94c8ae9db3f98efd558cf12ed7e591aa5eec937a1a5aa196629460e3bd7ccce8,880ea09629cdcf11312d9e684f6fce9be8231c1f7db3d4fedc69cccbe0fcf80d
dorn_cuda_001,cuda,6e4391fb0b33d4bc030d5151e9dd566921fe8f8f63b45be956f6140a3bc9f222,237f056c764f21a6d898faf4ba43cb24b8c18dc4717a171d925645dc63653ec5
dorn_cuda_002,cuda,b35804c8e217db55a79df216dd893c235088b1b5a4b6c6d37bce2cb20347815f,f4dac28556d77d95ef2d2654cff8a431d5c39b75d22d2dbb3934b572bb5bb805
dorn_cuda_003,cuda,1cba40093e12b1dd2603c85d756d8aa9d5309f6e19ebfd138ce4251058dc456d,49f32cdbbc3654ff467983e854ec94e1388ff3e5675eb652698fc508d456664f
dorn_cuda_004,cuda,12403f2a4a74ea6afe75e153b442cac7bfcc02cf9c93a63cb795d63637a0f6bd,13dc73f0bf99a0a10132ed6a6fa14f62e45f3a3127aca7b9502074ae7831e7b0
dorn_cuda_005,cuda,da8b73b1ebd36bf73d248d21be70b46826b247d34fe1f13897d3befe7201b557,27888502ee5fe6d017a979d28d598faaf843e862e0f683ddb451b95d8edd8040
dorn_cuda_006,cuda,1e8b4b341c6913ebd1ddd99ab67bbea17a4140a0baf380eb32ec834ceb2b4eb9,065207bb36295ec08a605b394db20895127f27ccf102b7c6ff399c0fcfa5c92f
dorn_cuda_007,cuda,bad989290e4d08ad5c75e9e5f19bd135e0d3bf0d5d26a8c94017d91fde8bb0e0,012119899b03344d45de4fdc7e6eea54b3ac479fa5ff546976d8bceff4e2465f
dorn_cuda_008,cuda,d2ecfd2f351bf7e214065d82cbae2109a111fb984d09d32bedeba3799fe249d1,47baddba830c976bdd9d4cdb69d09bb93c9d5f2ef48b545273db128a179be399
dorn_cuda_009,cuda,7ee402ef526723c201c553033797577bdb667176c439ec3be711ae344ac275e0,b4b64ac545efd0779d9d7604b4a44de80af9f7c05b3401d1988a99f5f09b9428
dorn_cuda_010,cuda,24ae6aef6f48d58f4da24b97f3f2576022a24d60b8b05e53b4258961f9b78c4b,4c712d5857d5017c1477f19167314bcbda7c6397f919ac15aa16d5e818ce1693
dorn_cuda_011,cuda,fc08bde1280b19d23afd457d99b23f36793dd3b37ae5a4689c8a35f950421722,816d308802e025679ad35131c43839eec3747f1fc9faa7184c707a3e3b3c35a1
dorn_cuda_012,cuda,2fa9a5bc663a9101a01a271cbaddc8d5cbf2fd83add1272b57f9a256a6ef8d11,22b9c02a80fe0d3b1bf8842027e6d635f510d8c6b18ab247b7b41822d7ffacc0
dorn_cuda_013,cuda,8001ef700dcac4f80f46bbe1f00242ac5aa5d25405126075c4615b028619edbd,4ae26f2cdfe9b8fa9b623f0793331cb0a4626842f82f8086a8aba76970e794c7
dorn_cuda_014,cuda,75512ae4af74450cf993e2db6cbd4c6b7ac03a3bbc86749e4dd58deceb0709bc,4f0d812f22433207ec7c506b6f561a4051794e519d1e7c6d390abe0a1c70fa09
dorn_cuda_015,cuda,06d5ccaed70f42272656c0cd771fdf925e7b773cdace6bce6120b275d9571d31,42621cbe9ae1ed4932596fe83847459b81199e01c13794ea0ec9429ea6f556c7
dorn_cuda_016,cuda,61284a8956c1df35bf7fcedd16506ad6c37d4246de131746361503c3b3af9154,ac77c2713b049eb1067eeabd4d16f7c008a1e0f0e169a90d94b4da6caedc4f80
dorn_cuda_017,cuda,8f3f810b852c10577705efeb8c75ad5245000079e553e064535f12c7987be1eb,47d41e88a341e46f88b7f6a6e02ce81ce8802bff36fcdb8201f943f2b4ec3f7c
dorn_cuda_018,cuda,778b0352d02b51fdbfd2b8ac282f4d923f0aa7c18ce482f9f4ab45228e525c87,07da0d8397de4a0f7be276404d6419ad5064c46cdb2ff8505a55c71fa999feac
dorn_cuda_019,cuda,c2576edc3810662cac1ca021692350924c420581e51970557355b909a8259a65,5927d3516a8fbd716ab78edcc75e2ce8e944cdf8aa78b41d59de5ba4e580ac23
