source,model,language,variant,n_strict_valid_games,strict_valid_win_rate,n_debiased_games,debiased_win_rate,strict_rank,debiased_rank
new_direct_pairwise,OpenGVLab/InternVL3-8B,cuda,golden,222,0.990990990990991,300,0.9433333333333334,1.0,1.0
new_direct_pairwise,OpenGVLab/InternVL3-8B,cuda,ugly_gold,208,0.7884615384615384,300,0.6933333333333334,2.0,2.0
new_direct_pairwise,OpenGVLab/InternVL3-8B,cuda,beautiful_trash,217,0.31336405529953915,300,0.3233333333333333,3.0,3.0
new_direct_pairwise,OpenGVLab/InternVL3-8B,cuda,ugly_trash,265,0.01509433962264151,300,0.04,4.0,4.0
new_direct_pairwise,OpenGVLab/InternVL3-8B,java,golden,264,0.9848484848484849,300,0.9366666666666666,1.0,1.0
new_direct_pairwise,OpenGVLab/InternVL3-8B,java,ugly_gold,257,0.7470817120622568,300,0.72,2.0,2.0
new_direct_pairwise,OpenGVLab/InternVL3-8B,java,beautiful_trash,232,0.1939655172413793,300,0.31666666666666665,3.0,3.0
new_direct_pairwise,OpenGVLab/InternVL3-8B,java,ugly_trash,243,0.00411522633744856,300,0.02666666666666667,4.0,4.0
new_direct_pairwise,OpenGVLab/InternVL3-8B,python,golden,267,0.9887640449438202,300,0.9633333333333334,1.0,1.0
new_direct_pairwise,OpenGVLab/InternVL3-8B,python,ugly_gold,258,0.7441860465116279,300,0.7033333333333334,2.0,2.0
new_direct_pairwise,OpenGVLab/InternVL3-8B,python,beautiful_trash,264,0.26515151515151514,300,0.30333333333333334,3.0,3.0
new_direct_pairwise,OpenGVLab/InternVL3-8B,python,ugly_trash,273,0.018315018315018316,300,0.03,4.0,4.0
new_direct_pairwise,Qwen/Qwen2.5-VL-7B-Instruct,cuda,golden,228,1.0,300,0.9833333333333333,1.0,1.0
new_direct_pairwise,Qwen/Qwen2.5-VL-7B-Instruct,cuda,ugly_gold,216,0.8240740740740741,300,0.6833333333333333,2.0,2.0
new_direct_pairwise,Qwen/Qwen2.5-VL-7B-Instruct,cuda,beautiful_trash,190,0.02631578947368421,300,0.31333333333333335,3.0,3.0
new_direct_pairwise,Qwen/Qwen2.5-VL-7B-Instruct,cuda,ugly_trash,188,0.0,300,0.02,4.0,4.0
new_direct_pairwise,Qwen/Qwen2.5-VL-7B-Instruct,java,golden,264,0.9924242424242424,300,0.98,1.0,1.0
new_direct_pairwise,Qwen/Qwen2.5-VL-7B-Instruct,java,ugly_gold,256,0.75,300,0.6866666666666666,2.0,2.0
new_direct_pairwise,Qwen/Qwen2.5-VL-7B-Instruct,java,beautiful_trash,205,0.05853658536585366,300,0.30666666666666664,3.0,3.0
new_direct_pairwise,Qwen/Qwen2.5-VL-7B-Instruct,java,ugly_trash,207,0.0,300,0.02666666666666667,4.0,4.0
new_direct_pairwise,Qwen/Qwen2.5-VL-7B-Instruct,python,golden,266,1.0,300,0.99,1.0,1.0
new_direct_pairwise,Qwen/Qwen2.5-VL-7B-Instruct,python,ugly_gold,255,0.7411764705882353,300,0.6766666666666666,2.0,2.0
new_direct_pairwise,Qwen/Qwen2.5-VL-7B-Instruct,python,beautiful_trash,200,0.04,300,0.32666666666666666,3.0,3.0
new_direct_pairwise,Qwen/Qwen2.5-VL-7B-Instruct,python,ugly_trash,205,0.0,300,0.006666666666666667,4.0,4.0
