base_id,rq0_id,dataset_name,language,raw_code,human_mean_score,human_score_z_within_dataset,formatting_code_hash,score_for_stratum,human_score_z_within_language,score_stratum
rq3_java_000,rq0_0005,Buse,java,"    xsp = jj_scanpos;
    if (jj_scan_token(100)) {
    jj_scanpos = xsp;
    if (jj_scan_token(101)) return true;
",2.190082644628099,-1.7461888003442083,f422917e8e44c8114d5f549be01df8d1a12927d6bbe419eab8272ea5272d9663,-1.7461888003442083,,low
rq3_java_001,rq0_0023,Buse,java,"
            public boolean check(Unit u, PathNode p) {
                if (p.getTile().getSettlement() != null && p.getTile().getSettlement().getOwner() == player
                        && p.getTile().getSettlement() != inSettlement) {
                    Settlement s = p.getTile().getSettlement();
                    int turns = p.getTurns();
                    destinations.add(new ChoiceItem(s.toString() + "" ("" + turns + "")"", s));
",2.0991735537190084,-1.891039470939489,563e429bfa6c7afac8e21c376230d9bb995280f4e0cc403742290b28610941ba,-1.891039470939489,,low
rq3_java_002,rq0_0034,Buse,java,"			Class clas = object.getClass();
			Field field = Reflect.resolveJavaField( 
				clas, name, false/*onlyStatic*/ );
			if ( field != null )
				return new Variable( 
					name, field.getType(), new LHS( object, field ) );
",2.5454545454545454,-1.1799543607444758,af9f9e23ad1f1411f1e7e12107d65f81f2feb3f86fde52e877c3d607e38aa4a4,-1.1799543607444758,,low
rq3_java_003,rq0_0051,Buse,java,"		try {
			suiteMethod= klass.getMethod(""suite"");
			if (! Modifier.isStatic(suiteMethod.getModifiers())) {
				throw new Exception(klass.getName() + "".suite() must be static"");
			}
			suite= (Test) suiteMethod.invoke(null); // static method
",2.727272727272727,-0.8902530195539149,4a1825f100f7c2d50e14b63b419d81d834ace980491d56fa3105b8a6a39e9fcf,-0.8902530195539149,,low
rq3_java_004,rq0_0053,Buse,java,"
        if (missionChip == null) {
            GraphicsConfiguration gc = GraphicsEnvironment.getLocalGraphicsEnvironment().getDefaultScreenDevice()
                    .getDefaultConfiguration();
            loadMissionChip(gc, color, expertMission);

            if (expertMission) {
                missionChip = expertMissionChips.get(color);
",2.71900826446281,-0.9034212623353036,1bf9797ac3a30f4924bde47ed1cc394e7d36969900e539c8dc5b532a37ed4269,-0.9034212623353036,,low
rq3_java_005,rq0_0061,Buse,java,"	@Override
	public Description getDescription() {
		Description spec= Description.createSuiteDescription(getName());
		List<Method> testMethods= fTestMethods;
		for (Method method : testMethods)
				spec.addChild(methodDescription(method));
",2.652892561983471,-1.008767204586417,db08f87ed2d053bcc7ef777d9bd98fd6a2fb3464897420c8afc4fd945c3c2d44,-1.008767204586417,,low
rq3_java_006,rq0_0076,Buse,java,"	private static Class<?>[] getAnnotatedClasses(Class<?> klass) throws InitializationError {
		SuiteClasses annotation= klass.getAnnotation(SuiteClasses.class);
		if (annotation == null)
			throw new InitializationError(String.format(""class '%s' must have a SuiteClasses annotation"", klass.getName()));
		return annotation.value();
",2.2975206611570247,-1.57500164418615,b1498068e866d28a86509f67dfb059d22bc933b0f0b862167dcf089babfe475b,-1.57500164418615,,low
rq3_java_007,rq0_0084,Buse,java,"private static final boolean jjCanMove_1(int hiByte, int i1, int i2, long l1, long l2)
{
   switch(hiByte)
   {
      case 0:
         return ((jjbitVec0[i2] & l2) != 0L);
      default : 
         if ((jjbitVec1[i1] & l1) != 0L)
            return true;
         return false;
",2.644628099173554,-1.0219354473678055,b35767eea30dba83c134e8b5832536ab775326144546a472c81eacd3e717a845,-1.0219354473678055,,low
rq3_java_008,rq0_0085,Buse,java,"    private static Date correctTimeZone(final Date date) {
       Date ret=date;
       if(java.util.TimeZone.getDefault().useDaylightTime()){
            if(java.util.TimeZone.getDefault().inDaylightTime(date))
                ret.setTime(date.getTime()+1*60*60*1000);
        }
        return ret;
",2.87603305785124,-0.6532246494889097,2aa1232f04425382b46dca9b1071177b3d8662ba44ea3cf4598b6146dea47ab4,-0.6532246494889097,,low
rq3_java_009,rq0_0089,Buse,java,"private final int jjMoveStringLiteralDfa18_0(long old1, long active1, long old2, long active2)
{
   if (((active1 &= old1) | (active2 &= old2)) == 0L)
      return jjStartNfa_0(16, 0L, old1, old2); 
   try { curChar = input_stream.readChar(); }
   catch(java.io.IOException e) {
      jjStopStringLiteralDfa_0(17, 0L, active1, active2);
",2.090909090909091,-1.9042077137208784,c71a992fae936156c03356fd12578ccdf581328a0f8cd6f6acd13e785f796b93,-1.9042077137208784,,low
rq3_java_010,rq0_0095,Buse,java,"    public ActionMenu getButtonAction() {
        AbstractAction action = new AbstractAction() {

            public void actionPerformed(ActionEvent evt) {
                showDialog();
            }
        };
        action.putValue(Action.NAME, mLocalizer.msg(""CapturePlugin"", ""Capture Plugin""));
        action.putValue(Action.SMALL_ICON, createImageIcon(""mimetypes"", ""video-x-generic"", 16));
",2.909090909090909,-0.6005516783633533,59c02e16d915e5d6f586b72130f456a867ac671297a1e120eb141fd3fdb5ddae,-0.6005516783633533,,low
rq3_java_011,rq0_0098,Buse,java,"    private synchronized void purgeOldMessagesFromMessagesToIgnore(int thisTurn) {
        List<String> keysToRemove = new ArrayList<String>();
        for (Entry<String, Integer> entry : messagesToIgnore.entrySet()) {
            if (entry.getValue().intValue() < thisTurn - 1) {
                if (logger.isLoggable(Level.FINER)) {
                    logger.finer(""Removing old model message with key "" + entry.getKey() + "" from ignored messages."");
                }
                keysToRemove.add(entry.getKey());
",2.1322314049586777,-1.8383664998139329,336ebe05fd2f06658d5ad5b2f9ccccf9d98137958ad1651eb5b453ab7ed2d329,-1.8383664998139329,,low
rq3_java_012,rq0_0111,Dorn,java,"		Category category );
		
  /**
   * A category has been removed from the CategoryManager
   * @param category Category that was removed
   */  
	public void
	categoryRemoved(
		Category category );
",2.045871496200561,-2.949200914026875,d56b7cec86c72b6d1a3bc3fe51ae3befaabb141e9b3e348abc95e43c20bedf8e,-2.949200914026875,,low
rq3_java_013,rq0_0116,Dorn,java,"/**
 * Copyright (c) 2000-2012 Liferay, Inc. All rights reserved.
 *
 * This library is free software; you can redistribute it and/or modify it under
 * the terms of the GNU Lesser General Public License as published by the Free
 * Software Foundation; either version 2.1 of the License, or (at your option)
 * any later version.
 *
 * This library is distributed in the hope that it will be useful, but WITHOUT
 * ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS
 * FOR A PARTICULAR PURPOSE. See the GNU Lesser General Public License for more
 * details.
 */

package com.liferay.portal.sharepoint.methods;

import com.liferay.portal.sharepoint.ResponseElement;
import com.liferay.portal.sharepoint.SharepointRequest;
import com.liferay.portal.sharepoint.SharepointStorage;

import java.util.ArrayList;
import java.util.List;

/**
 * @author Bruno Farache
 */
public class UncheckoutDocumentMethodImpl extends BaseMethodImpl {

	public String getMethodName() {
		return _METHOD_NAME;
	}

	@Override
	public String getRootPath(SharepointRequest sharepointRequest) {
		return sharepointRequest.getParameterValue(""document_name"");
	}

	@Override
	protected List<ResponseElement> getElements(
			SharepointRequest sharepointRequest)
		throws Exception {

		List<ResponseElement> elements = new ArrayList<ResponseElement>();

		SharepointStorage storage = sharepointRequest.getSharepointStorage();

		elements.add(storage.getDocumentTree(sharepointRequest));

		return elements;
	}
",3.011857748031616,-0.7507403941889145,989e0433cada4e1cc2f09e97cf20e2f8cdba3103580e11e789569f28a2ef9b45,-0.7507403941889145,,low
rq3_java_014,rq0_0125,Dorn,java,"/**
 * Copyright (c) 2000-2012 Liferay, Inc. All rights reserved.
 *
 * This library is free software; you can redistribute it and/or modify it under
 * the terms of the GNU Lesser General Public License as published by the Free
 * Software Foundation; either version 2.1 of the License, or (at your option)
 * any later version.
 *
 * This library is distributed in the hope that it will be useful, but WITHOUT
 * ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS
 * FOR A PARTICULAR PURPOSE. See the GNU Lesser General Public License for more
 * details.
 */

package com.liferay.portal.workflow.kaleo.runtime.util;

import com.liferay.portal.kernel.json.JSONFactoryUtil;
import com.liferay.portal.kernel.json.JSONObject;
import com.liferay.portal.service.ServiceContext;
import com.liferay.portal.workflow.kaleo.model.KaleoInstanceToken;
import com.liferay.portal.workflow.kaleo.model.KaleoTaskInstanceToken;
import com.liferay.portal.workflow.kaleo.runtime.ExecutionContext;
import com.liferay.portal.workflow.kaleo.service.KaleoInstanceTokenLocalServiceUtil;
import com.liferay.portal.workflow.kaleo.service.KaleoTaskInstanceTokenLocalServiceUtil;
import com.liferay.portal.workflow.kaleo.util.WorkflowContextUtil;

import java.io.Serializable;

import java.util.Map;
",2.7649402618408203,-1.3126928485009026,428961cc32df246f61f9b4f9dc646f123a66740e269ba92a970d551b22baf477,-1.3126928485009026,,low
