protocol_pair_id,pair_id,snippet_i,snippet_j,dataset_name_i,dataset_name_j,language,difficulty,human_score_i_z,human_score_j_z,abs_z_diff,human_preference,preference_score_basis,seed,difficulty_role,continuous_difficulty,image_i_path,image_j_path,image_i_sha256,image_j_sha256
rq1_3325,ext_dorn_cuda_easy_00325,dorn_cuda_082,dorn_cuda_083,Dorn,Dorn,cuda,easy,-1.4267478438366836,-0.3640134546606111,1.0627343891760723,dorn_cuda_083,human_score_z_within_dataset,42,legacy_sampling_stratum,1.0627343891760723,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_082.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_083.png,0beb752ca1e0c58a1439d071ecbf12147caa9b7e0f98b3bd52ccf22808445ede,1455f7b76cc2a354c60a803b132d0559910fe37bd3786e9cf1a3f2bec128000d
rq1_3365,ext_dorn_cuda_easy_00365,dorn_cuda_016,dorn_cuda_017,Dorn,Dorn,cuda,easy,-2.589813763677307,0.0013340189934547,2.591147782670762,dorn_cuda_017,human_score_z_within_dataset,42,legacy_sampling_stratum,2.591147782670762,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_016.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_017.png,7999c781da6df94f4b448cc598582d9d4f4953ad90545dca8cf301dcab406531,d5e15a3fa341c719996242a956a5faa277c83ba5bdc4e5a21aecdc25c97f3fee
rq1_3410,ext_dorn_cuda_easy_00410,dorn_cuda_084,dorn_cuda_085,Dorn,Dorn,cuda,easy,-2.1937788258205893,-0.4071698501197219,1.7866089757008674,dorn_cuda_085,human_score_z_within_dataset,42,legacy_sampling_stratum,1.7866089757008674,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_084.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_085.png,01715d9bb192de650add8a5acdaf044c0dd48f0d80841329d5a330c2fbf8a8e3,06cd24aab27ee656a28c7987b677abae0d7cd402a8bb8ff531f63c978e2e800d
rq1_3905,ext_dorn_cuda_easy_00905,dorn_cuda_007,dorn_cuda_119,Dorn,Dorn,cuda,easy,-0.9433191902657118,0.3513008888739403,1.294620079139652,dorn_cuda_119,human_score_z_within_dataset,42,legacy_sampling_stratum,1.294620079139652,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_007.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_119.png,546a9bcd75675e8fd2a20ccc0f481ab2c81046090c8232e146cc7385faad00dd,7898ed11774032f75ee7c1c8b498bbe14b4856ee6dca5a2411c3bb819bfe5f79
rq1_3964,ext_dorn_cuda_easy_00964,dorn_cuda_069,dorn_cuda_097,Dorn,Dorn,cuda,easy,-2.618460257693279,-0.5416668047522039,2.076793452941075,dorn_cuda_097,human_score_z_within_dataset,42,legacy_sampling_stratum,2.076793452941075,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_069.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_097.png,fddac9aacd0d081ceb580a3adf23ab7de90ee1f8c806c4051363a72f3844ec84,2dac941878f0bb83adcf0f14748d7c5743a8e948daececfc3b380f1ad001f7ed
rq1_5097,ext_dorn_cuda_hard_02097,dorn_cuda_083,dorn_cuda_099,Dorn,Dorn,cuda,hard,-0.3640134546606111,-0.065786711727071,0.29822674293354,dorn_cuda_099,human_score_z_within_dataset,42,legacy_sampling_stratum,0.29822674293354,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_083.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_099.png,1455f7b76cc2a354c60a803b132d0559910fe37bd3786e9cf1a3f2bec128000d,6e34779f8af067616b477cb0a21b4e91f45bc2a355b78e232a31cf3dc86e1060
rq1_5160,ext_dorn_cuda_hard_02160,dorn_cuda_048,dorn_cuda_054,Dorn,Dorn,cuda,hard,-0.5075023919044743,-0.2305753787901582,0.2769270131143161,dorn_cuda_054,human_score_z_within_dataset,42,legacy_sampling_stratum,0.2769270131143161,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_048.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_054.png,905352f24fdf3fc18507726295a098faf28f976945d531bd9cc7d2e43ec8abb7,9299a997181123f84c504e981999891ddaccfa5f670d153b1e90bed2fab893e5
rq1_5628,ext_dorn_cuda_hard_02628,dorn_cuda_092,dorn_cuda_110,Dorn,Dorn,cuda,hard,-2.1758210864611502,-1.778843392279563,0.3969776941815872,dorn_cuda_110,human_score_z_within_dataset,42,legacy_sampling_stratum,0.3969776941815872,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_092.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_110.png,89aa79dcf260fb1f15bd396995f6057b5f3302b04956a4337287895d26d2fd96,c48d7b8cfd9cca884fef24c292b432c7ddb488a9427dbed030d2927e377d1811
rq1_5699,ext_dorn_cuda_hard_02699,dorn_cuda_076,dorn_cuda_095,Dorn,Dorn,cuda,hard,0.0496793623859066,-0.2292919285947633,0.2789712909806699,dorn_cuda_076,human_score_z_within_dataset,42,legacy_sampling_stratum,0.2789712909806699,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_076.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_095.png,958aeb2b442932b86868427e7b275bd1153f022e99e72bb055d0867838121793,6da88f8edc25c5ca92ccc73ee17e0cf99f3c223f30f15ecd8d06992af31a21b5
rq1_5830,ext_dorn_cuda_hard_02830,dorn_cuda_047,dorn_cuda_050,Dorn,Dorn,cuda,hard,-2.155394157939788,-2.5664200933785017,0.4110259354387136,dorn_cuda_047,human_score_z_within_dataset,42,legacy_sampling_stratum,0.4110259354387136,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_047.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_050.png,366b2a0a4819d7a73ca94cb42136546b960b3023283bacbfbaaf19bfc26da0d6,6e28ddcd9fcc74c9647f3b6f4c4eff4f6437b1dcc72b1eabb643182b45ae5d34
rq1_4129,ext_dorn_cuda_medium_01129,dorn_cuda_039,dorn_cuda_083,Dorn,Dorn,cuda,medium,0.6106214708117965,-0.3640134546606111,0.9746349254724076,dorn_cuda_039,human_score_z_within_dataset,42,legacy_sampling_stratum,0.9746349254724076,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_039.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_083.png,f08600eabd9837e52d8ab4c4386df3b2c410b40bfe572a7f358b9e20acca539d,1455f7b76cc2a354c60a803b132d0559910fe37bd3786e9cf1a3f2bec128000d
rq1_4188,ext_dorn_cuda_medium_01188,dorn_cuda_011,dorn_cuda_081,Dorn,Dorn,cuda,medium,-1.6992360408578573,-1.0451897100497312,0.6540463308081261,dorn_cuda_081,human_score_z_within_dataset,42,legacy_sampling_stratum,0.6540463308081261,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_011.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_081.png,4527f2cfe8267e8f64bab9c92d8df395f95defef2c3e2f0265d9ec731fecb0ef,a10e82fa3e911cc4de7511266fc48742adc67ec07430d508b0e4daafd99342d1
rq1_4330,ext_dorn_cuda_medium_01330,dorn_cuda_097,dorn_cuda_103,Dorn,Dorn,cuda,medium,-0.5416668047522039,-1.087095091737198,0.5454282869849941,dorn_cuda_097,human_score_z_within_dataset,42,legacy_sampling_stratum,0.5454282869849941,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_097.png,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_103.png,2dac941878f0bb83adcf0f14748d7c5743a8e948daececfc3b380f1ad001f7ed,55223b483192b1f04e2e2a0a12d5c5bd5bbaf14722f667d2efd5d6f187599a42
