pair_id,snippet_id_a,snippet_id_b,dataset_a,dataset_b,difficulty,human_score_z_a,human_score_z_b,abs_human_score_gap,gold_preference,rf_score_a,rf_score_b,rf_pred_preference,rf_correct,rf_margin_raw,rf_margin_abs,rf_margin_percentile,vlm_condition,vlm_ab_choice,vlm_ba_choice,vlm_parsed_ab,vlm_parsed_ba,vlm_strict_swap_valid,vlm_pred_preference,vlm_correct,vlm_parse_failure,image_a_path,image_b_path,outcome_group
full_rq0_seed42__rq0_0000__rq0_0025,rq0_0000,rq0_0025,Buse,Buse,easy,-0.4688692505494623,0.7426090853383388,1.2114783358878012,rq0_0025,0.1777111185905329,0.3123832163942425,rq0_0025,True,-0.1346720978037096,0.1346720978037096,0.172,OpenGVLab/InternVL3-8B / combined_labeled_text_plus_image / promptB,FINAL_VERDICT: B,FINAL_VERDICT: A,B,A,True,rq0_0025,True,0,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0025.png,RF_correct__VLM_correct
full_rq0_seed42__rq0_0000__rq0_0033,rq0_0000,rq0_0033,Buse,Buse,easy,-0.4688692505494623,-2.0358901415347703,1.567020890985308,rq0_0000,0.1777111185905329,-0.2230248829512798,rq0_0000,True,0.4007360015418127,0.4007360015418127,0.478,OpenGVLab/InternVL3-8B / combined_labeled_text_plus_image / promptB,FINAL_VERDICT: B,FINAL_VERDICT: B,B,B,False,,False,0,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0033.png,RF_correct__VLM_invalid
full_rq0_seed42__rq0_0000__rq0_0128,rq0_0000,rq0_0128,Buse,Dorn,easy,-0.4688692505494623,1.7884819403119565,2.257351190861419,rq0_0128,0.1777111185905329,0.1057605815239846,rq0_0000,False,0.0719505370665483,0.0719505370665483,0.09166666666666666,OpenGVLab/InternVL3-8B / combined_labeled_text_plus_image / promptB,FINAL_VERDICT: B,FINAL_VERDICT: A,B,A,True,rq0_0128,True,0,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0128.png,RF_wrong__VLM_correct
full_rq0_seed42__rq0_0000__rq0_0166,rq0_0000,rq0_0166,Buse,Dorn,easy,-0.4688692505494623,0.7720995508876254,1.2409688014370877,rq0_0166,0.1777111185905329,0.2568652220197694,rq0_0166,True,-0.07915410342923651,0.07915410342923651,0.105,OpenGVLab/InternVL3-8B / combined_labeled_text_plus_image / promptB,FINAL_VERDICT: B,FINAL_VERDICT: A,B,A,True,rq0_0166,True,0,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0166.png,RF_correct__VLM_correct
full_rq0_seed42__rq0_0000__rq0_0207,rq0_0000,rq0_0207,Buse,Scalabrino,easy,-0.4688692505494623,0.5386660602292682,1.0075353107787306,rq0_0207,0.1777111185905329,-0.1080113392384357,rq0_0000,False,0.2857224578289686,0.2857224578289686,0.3506666666666667,OpenGVLab/InternVL3-8B / combined_labeled_text_plus_image / promptB,FINAL_VERDICT: B,FINAL_VERDICT: A,B,A,True,rq0_0207,True,0,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0207.png,RF_wrong__VLM_correct
full_rq0_seed42__rq0_0000__rq0_0242,rq0_0000,rq0_0242,Buse,Scalabrino,easy,-0.4688692505494623,0.5386660602292682,1.0075353107787306,rq0_0242,0.1777111185905329,0.0639554032813981,rq0_0000,False,0.11375571530913481,0.11375571530913481,0.14333333333333334,OpenGVLab/InternVL3-8B / combined_labeled_text_plus_image / promptB,FINAL_VERDICT: B,FINAL_VERDICT: A,B,A,True,rq0_0242,True,0,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0242.png,RF_wrong__VLM_correct
full_rq0_seed42__rq0_0000__rq0_0279,rq0_0000,rq0_0279,Buse,Scalabrino,easy,-0.4688692505494623,0.7201731022630425,1.189042352812505,rq0_0279,0.1777111185905329,-0.3301073315081526,rq0_0000,False,0.5078184500986855,0.5078184500986855,0.5933333333333334,OpenGVLab/InternVL3-8B / combined_labeled_text_plus_image / promptB,FINAL_VERDICT: B,FINAL_VERDICT: B,B,B,False,,False,0,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0279.png,RF_wrong__VLM_invalid
full_rq0_seed42__rq0_0001__rq0_0127,rq0_0001,rq0_0127,Buse,Dorn,easy,0.7294408425569501,-1.0552721368539235,1.7847129794108736,rq0_0001,0.487849598247517,0.3873610450027234,rq0_0001,True,0.10048855324479361,0.10048855324479361,0.13033333333333333,OpenGVLab/InternVL3-8B / combined_labeled_text_plus_image / promptB,FINAL_VERDICT: B,FINAL_VERDICT: A,B,A,True,rq0_0127,False,0,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0001.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0127.png,RF_correct__VLM_wrong
full_rq0_seed42__rq0_0001__rq0_0153,rq0_0001,rq0_0153,Buse,Dorn,easy,0.7294408425569501,-1.3132262341647327,2.042667076721683,rq0_0001,0.487849598247517,0.3040883377883194,rq0_0001,True,0.1837612604591976,0.1837612604591976,0.23133333333333334,OpenGVLab/InternVL3-8B / combined_labeled_text_plus_image / promptB,FINAL_VERDICT: B,FINAL_VERDICT: A,B,A,True,rq0_0153,False,0,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0001.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0153.png,RF_correct__VLM_wrong
full_rq0_seed42__rq0_0001__rq0_0211,rq0_0001,rq0_0211,Buse,Scalabrino,easy,0.7294408425569501,-2.183939570277356,2.9133804128343064,rq0_0001,0.487849598247517,-0.4289031616910185,rq0_0001,True,0.9167527599385354,0.9167527599385354,0.8796666666666667,OpenGVLab/InternVL3-8B / combined_labeled_text_plus_image / promptB,FINAL_VERDICT: B,FINAL_VERDICT: A,B,A,True,rq0_0211,False,0,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0001.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0211.png,RF_correct__VLM_wrong
